Section_2020,public_dataset,research_dataset,Variable_2020,Labels_2020_old,Question_2020,Labels_2020,Response_Type_2020,Response_Options_2020,Constructed_2020,Var_Description_2020,Var_Description_2020_old,Version_Note,baseline2016,Fall_2017_Spring_2018,Fall_2018_Spring_2019,Fall_2019_Spring_2020
J: Discrimination,Keep,Keep,neighnotsmrt,Discrimination: Considered not Smart,2c. People act as if they think you are not smart.,Discrimination: Considered not Smart,radio,"1, Never | 2, Once | 3, A few times (3-5) | 4, Many times (5-10) | 5, Very many times (10+)",0,"This variable provides the number of times people have acted like the respondent was not smart in the respondent's neighborhood. The response options are: Never, Once, A few times (3-5), Many times (5-10), and Very many times (10+). ","This variable indicates the number times people have acted like the respondent was not smart in the respondent's neighborhood. The possible response options are: Never, Once, A few times (3-5), Many times (5-10), and Very many times (10+). Only respondents who have experienced discrimination in their neighborhood answer this question.",,345,686,938,768
J: Discrimination,Keep,Keep,neighactafraid,Discrimination: People Afraid of You,2d. People act as if they are afraid of you.,Discrimination: People afraid of you,radio,"1, Never | 2, Once | 3, A few times (3-5) | 4, Many times (5-10) | 5, Very many times (10+)",0,"This variable provides the number of times people have acted as if they were afraid of the respondent in the respondent's neighborhood. The response options are: Never, Once, A few times (3-5), Many times (5-10), and Very many times (10+). ","This variable indicates the number of times people have acted as if they were afraid of the respondent in the respondent's neighborhood. The possible response options are: Never, Once, A few times (3-5), Many times (5-10), and Very many times (10+). Only respondents who have experienced discrimination in their neighborhood answer this question.",,348,689,951,770
J: Discrimination,Keep,Keep,neighactbetter,Discrimination: People Better than You,2e. People act as if they are better than you are.,Discrimination: People Better than you,radio,"1, Never | 2, Once | 3, A few times (3-5) | 4, Many times (5-10) | 5, Very many times (10+)",0,"This variable provides the number of times people have acted like they were better than the respondent in the respondent's neighborhood. The response options are: Never, Once, A few times (3-5), Many times (5-10), and Very many times (10+). ","This variable indicates the number of times people have acted like they were better than the respondent in the respondent's neighborhoood. The possible response options are: Never, Once, A few times (3-5), Many times (5-10), and Very many times (10+). Only respondents who have experienced discrimination in their neighborhood answer this question.",,346,681,941,770
J: Discrimination,Keep,Keep,neighinsult,Discrimination: Name Calling or Insults,2f. People call you names or insult you.,Discrimination: Name calling or insults,radio,"1, Never | 2, Once | 3, A few times (3-5) | 4, Many times (5-10) | 5, Very many times (10+)",0,"This variable provides the number of times a respondent has been called names or insulted in their neighborhood. The response options are: Never, Once, A few times (3-5), Many times (5-10,) and Very many times (10+). ","This variable indicates the number of times a respondent has been called names or insulted in their neighborhood. The possible response options are: Never, Once, A few times (3-5), Many times (5-10,) and Very many times (10+). Only respondents who have experienced discrimination in their neighborhood answer this question.",,348,693,959,768
J: Discrimination,Keep,Keep,neighharass,Discrimination: Threatened or Harassed,2g. People threaten or harass you.,Discrimination: Threatened or harassed,radio,"1, Never | 2, Once | 3, A few times (3-5) | 4, Many times (5-10) | 5, Very many times (10+)",0,"This variable indicates the number of times a respondent has been threatened or harassed In their neighborhood. The response options are: Never, Once, A few times (3-5), Many times (5-10), and Very many times (10+). ","This variable indicates the number of times a respondent has been threated or harassed In their neighborhood. The possible response options are: Never, Once, A few times (3-5), Many times (5-10), and Very many times (10+). Only respondents who have experienced discrimination in their neighborhood answer this question.",,350,687,583,772
J: Discrimination,Keep,Keep,everyday_discrim,Everyday Discrimination Score,,Everyday Discrimination Score,,Two digit decimal between 0 and 1 such as 0.14 or 0.86,1,This variable was created based on survey questions about discrimination. It is based on the series of variables asking about specific experiences with discrimination in the neighborhood. A lower value indicates fewer or less frequent experiences with discrimination while a higher value indicates more or more frequent experiences with discrimination.,This variable is constructed. It is based on the series of variables asking about specific experiences with discrimination in the neighborhood. A lower value indicates less experiences with discrimination while a higher value indicates more experiences with discrimination.,,377,877,1040,822
J: Discrimination,Keep,Keep,discnat,Discrimination Reason: Ancestry or National Origins,,Reason for Discrimination: Ancestry or National Origins,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""your ancestry or national origins"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.","This variable indicates whether respondents checked ""your ancestry or national origins"" in response to the question ""What do you think is the main reason for your experience(s) with discrimination?"" The possible response options are: Checked and Unchecked.",,126,877,1040,822
J: Discrimination,Keep,Keep,discgend,Discrimination Reason: Gender,,Reason for Discrimination: Gender,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Gender"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of their gender.,,126,877,1040,822
J: Discrimination,Keep,Keep,discrace,Discrimination Reason: Race or Ethnicity,,Reason for Discrimination: Race or Ethnicity,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Race or Ethnicity"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of their race or ethnicity.,,126,877,1040,822
J: Discrimination,Keep,Keep,discage,Discrimination Reason: Age,,Reason for Discrimination: Age,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Age"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of their age.,,126,877,1040,822
J: Discrimination,Keep,Keep,discrel,Discrimination Reason: Religion,,Reason for Discrimination: Religion,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Religion"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of their religion.,,126,877,1040,822
J: Discrimination,Keep,Keep,discheight,Discrimination Reason: Height,,Reason for Discrimination: Height,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Height"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of their height.,,126,877,1040,822
J: Discrimination,Keep,Keep,discweight,Discrimination Reason: Weight,,Reason for Discrimination: Weight,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Weight"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of their weight.,,126,877,1040,822
J: Discrimination,Keep,Keep,discotherphys,Discrimination Reason: Physical Appearance,,Reason for Discrimination: Physical Appearance,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Another aspect of your physical appearance"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of another aspect of their physical appearance.,,126,877,1040,822
J: Discrimination,Keep,Keep,discdress,Discrimination Reason: Way you Dress,,Reason for Discrimination: Way you Dress,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""How you dress"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of the way they dress.,,126,877,1040,822
J: Discrimination,Keep,Keep,discorient,Discrimination Reason: Sexual Orientation,,Reason for Discrimination: Sexual Orientation,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Your sexual orientation"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of their sexual orientation.,,125,877,1040,822
J: Discrimination,Keep,Keep,discedu,Discrimination Reason: Education or Income Level,,Reason for Discrimination: Education or Income Level,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Your education or income level"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of their education or income level.,,126,877,1040,822
J: Discrimination,Keep,Keep,discdisab,Discrimination Reason: Physical Disability,,Reason for Discrimination: Physical Disability,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""A physical disability"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of their physical disability.,,126,877,1040,822
J: Discrimination,Keep,Keep,discshade,Discrimination Reason: Shade of Skin Color,,Reason for Discrimination: Shade of Skin Color,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Your shade of skin color"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of their shade of skin color.,,126,877,1040,822
J: Discrimination,Keep,Keep,disctribe,Discrimination Reason: Tribe,,Reason for Discrimination: Tribe,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Your tribe"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against because of their tribe.,,126,877,1040,822
J: Discrimination,Keep,Keep,discother,Discrimination Reason: Other,,Reason for Discrimination: Other,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Other"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent believes they were discriminated against for a reason not listed in the survey options.,,125,877,1040,822
J: Discrimination,Remove,Keep,discothertxt,,Other: What other reasons do you think were discriminated against? ,,text,Other reason respondent was discriminated against,0,,,,5,41,62,34
J: Discrimination,Keep,Keep,discdontknow,Discrimination Reason: Don't know,,Reason for Discrimination: Don't know,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Don't know"" in response to the survey question: ""What do you think is the main reason for your experience(s) with discrimination?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent does not know why they were discriminated against.,,0,0,1032,822
J: Discrimination,Keep,Keep,discavoidarea,Response to Discrimination Experience: Avoid Place,,Response to Discrimination: Avoid Place,radio,"1, Yes | 0, No",0,This variable indicates whether respondents reacted to experiences with discrimination by avoiding the place where the incident occurred. The response options are: Yes and No.,This variable indicates whether a respondent reacted to experiences with discrimination by avoiding the place where the incident occurred. The possible reponse options are: Yes and No.,,201,439,523,416
J: Discrimination,Keep,Keep,discuchange,Response to Discrimination Experience: Change Behavior,,Response to Discrimination: Change Behavior,radio,"1, Yes | 0, No",0,This variable indicates whether respondents reacted to experiences with discrimination by changing something about the way they behave. The response options are: Yes and No.,This variable indicates whether a respondent reacted to experiences with discrimination by changing something about the way they behave. The possible reponse options are: Checked and Unchecked.,,201,397,467,385
J: Discrimination,Keep,Keep,discoffendbeh,Response to Discrimination Experience: Change Offender's Behavior,,Response to Discrimination: Change Offender's Behavior,radio,"1, Yes | 0, No",0,This variable indicates whether respondents reacted to experiences with discrimination by trying to change the offender's behavior. The response options are: Yes and No.,This variable indicates whether a respondent reacted to experiences with discrimination by trying to change the offerender's behavior. The possible reponse options are: Checked and Unchecked.,,201,405,470,391
J: Discrimination,Keep,Keep,discroutine,Response to Discrimination Experience: Change Routine,,Response to Discrimination: Change Routine,radio,"1, Yes | 0, No",0,This variable indicates whether respondents reacted to experiences with discrimination by telling someone what happened. The response options are: Yes and No.,This variable indicates whether a respondent reacted to experiences with discrimination by telling someone what happened. The possible reponse options are: Checked and Unchecked.,,0,395,462,387
J: Discrimination,Keep,Keep,discsay,Response to Discrimination Experience: Tell Someone,,Response to Discrimination: Tell Someone,radio,"1, Yes | 0, No",0,This variable indicates whether respondents reacted to experiences with discrimination by telling someone what happened. The response options are: Yes and No.,This variable indicates whether a respondent reacted to experiences with discrimination by telling someone what happened. The possible reponse options are: Checked and Unchecked.,,0,407,499,393
J: Discrimination,Keep,Keep,discargue,Response to Discrimination Experience: Argue,,Response to Discrimination: Argue,radio,"1, Yes | 0, No",0,This variable indicates whether respondents reacted to experiences with discrimination by arguing. The response options are: Yes and No.,This variable indicates whether a respondent reacted to experiences with discrimination by arguing. The possible reponse options are: Checked and Unchecked.,,0,395,452,381
J: Discrimination,Keep,Keep,feelanger,Feelings about Discrimination Experience: Anger,,Feelings about Discrimination: Anger,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel angry. The response options are: Checked and Unchecked.,"This variable indicates whether respondents checked ""angry"" in reponse to the question ""how do these experiences with discrimination make you feel?"" The possible reponse options are: Checked and Unchecked.",,246,877,1040,822
J: Discrimination,Keep,Keep,feelfrust,Feelings about Discrimination Experience: Frustration,,Feelings about Discrimination: Frustration,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel frustrated. The response options are: Checked and Unchecked.,This variable indicates whether experiences with discrimination made a respondent feel frustrated.,,246,877,1040,822
J: Discrimination,Keep,Keep,feelsad,Feelings about Discrimination Experience: Sad,,Feelings about Discrimination: Sad,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel sad. The response options are: Checked and Unchecked.,This variable indicates whether experiences with discrimination made a respondent feel sad.,,247,877,1040,822
J: Discrimination,Keep,Keep,feelstress,Feelings about Discrimination Experience: Stressed,,Feelings about Discrimination: Stressed,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel stressed. The response options are: Checked and Unchecked.,This variable indicates whether experiences with discrimination made a respondent feel stressed.,,246,877,1040,822
J: Discrimination,Keep,Keep,feelpwrless,Feelings about Discrimination Experience: Powerless,,Feelings about Discrimination: Powerless,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel powerless. The response options are: Checked and Unchecked.,This variable indicates whether experiences with discrimination made a respondent feel powerless.,,246,877,1040,822
J: Discrimination,Keep,Keep,feelhopeless,Feelings about Discrimination Experience: Hopeless,,Feelings about Discrimination: Hopeless,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel hopeless. The response options are: Checked and Unchecked.,This variable indicates whether experiences with discrimination made a respondent feel hopeless.,,246,877,1040,822
J: Discrimination,Keep,Keep,feelvuln,Feelings about Discrimination Experience: Vulnerable,,Feelings about Discrimination: Vulnerable,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel vulnerable. The response options are: Checked and Unchecked.,This variable indicates whether experiences with discrimination made a respondent feel vulnerable.,,246,877,1040,822
J: Discrimination,Keep,Keep,feelhumil,Feelings about Discrimination Experience: Humiliated,,Feelings about Discrimination: Humiliated,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel humiliated. The response options are: Checked and Unchecked.,This variable indicates whether experiences with discrimination made a respondent feel humiliated.,,246,877,1040,822
J: Discrimination,Keep,Keep,feelresigned,Feelings about Discrimination Experience: Not Surprised/Resigned,,Feelings about Discrimination: Not Surprised/Resigned,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel not surprised or resigned. The response options are: Checked and Unchecked.,This variable indicates whether experiences with discrimination made a respondent feel not surprised or resigned.,,246,877,1040,822
J: Discrimination,Keep,Keep,feelisolated,Feelings about Discrimination Experience: Isolated,,Feelings about Discrimination: Isolated,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel isolated. The response options are: Checked and Unchecked.,This variable indicates whether experiences with discrimination made a respondent feel isolated.,,246,877,1040,822
J: Discrimination,Keep,Keep,feelviolent,Feelings about Discrimination Experience: Violent,,Feelings about Discrimination: Violent,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel violent. The response options are: Checked and Unchecked.,This variable indicates whether experiences with discrimination made a respondent feel violent.,,0,877,1040,822
J: Discrimination,Keep,Keep,feelother,Feelings about Discrimination Experience: Other,,Feelings about Discrimination: Other,Checkbox,"Checked, Unchecked",0,This variable indicates whether experiences with discrimination made respondents feel an emotion not listed in the survey options. The response options are: Checked and Unchecked.,This variable indicates whether experiences with discrimination made a respondent feel an emotion not listed in the survey options,,0,877,1040,822
J: Discrimination,Remove,Keep,discfeelother,,Other: How else did these changes make you feel?,,text,Other emotion respondent felt about experience with discrimnation,0,,,,0,41,45,20
J: Discrimination,Remove,Keep,feelall,,,,Checkbox,"Checked, Unchecked",0,,,,246,877,1040,0
J: Discrimination,Remove,Keep,discrimstory_recording,,"1c. Would you like to tell us the story of what happened? 
",,file,Document: file that contains recordings of a respondent's stories of discrimination,0,,,,0,0,0,4
J: Discrimination,Remove,Keep,discrimstory_writein,,"Write-in section for optional voice recording. 
FOR DATA ENTRY USE ONLY -- SKIP DURING SURVEY. ",,notes,A respondent's story of discrimination,0,,,,0,0,0,123
K: Ownership of Change,Keep,Keep,ocnewhome,New Housing,"1a. Building new homes, apartments or condos",New Housing,radio,"0, NO, This change is NOT happening in my neighborhood | 1, YES, This change IS happening in my neighborhood | 2, Don't Know",0,"This variable indicates whether there are new homes, apartments, and condos being built in the respondent's neighborhood. The response options are: NO this change is NOT happening in my neighborhood, Yes this change IS happening in my neighborhood, and Don't know.","This variable indicates whether there are new homes, apartments, and condos being built in the respondent's neighborhood. Possible values are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhod, and Don't know.",,338,774,997,777
K: Ownership of Change,Keep,Keep,ocnewhomeavgpers,New Housing: Community Input,1b. Does the average person in your community have a voice in these changes?,New Housing: Community Input,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the average person in the respondent's community has a voice in the change: ""Building new homes, apartments, or condos.""","This variable indicates whether the average person in the respondent's community has a voice in the change ""Building new homes, apartments, or condos.""",,207,574,851,747
K: Ownership of Change,Keep,Keep,ocnewhome4u,New Housing: Beneficial,1c. Are these changes for you? (for your benefit),New Housing: Beneficial,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the changes ""Building new homes, apartments, or condos"" are for the respondent's benefit.","This variable indicates whether the changes ""Building new homes, apartments, or condos"" are for the respondent's benefit.",,202,579,826,739
K: Ownership of Change,Keep,Keep,ocnewhomeinvolved,New Housing: Personal Involvement,1d. Are you personally involved? ,New Housing: Personal Involvement,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the respondent is personally involved in the change ""Building new homes, apartments, or condos.""","This variable indicates whether the respondent is personally involved in the change ""Building new homes, apartments, or condos.""",,201,602,822,734
K: Ownership of Change,Keep,Keep,occommercialneigh,New Commercial Developments,"2a. Building or new commercial development like shops, cafes, or offices",New Commercial Developments,radio,"0, NO, These changes are NOT happening in my neighborhood | 1, YES, These changes are happening in my neighborhood | 2, Don't Know",0,"This variable indicates whether there are new commercial developments like shops, cafes, or offices being built in the respondent's neighborhood. The response options are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhood, and Don't know.","This variable indicates whether there are new commercial developments like shops, cafes, or offices being built in the respondent's neighborhood. Possible values are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhod, and Don't know.",,325,767,982,769
K: Ownership of Change,Keep,Keep,occommercialavgpers,New Commercial Developments: Community Input,2b.  Does the average person in your community have a voice in these changes?,New Commercial Developments: Community Input,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the average person in the respondent's community has a voice in the construction of new commercial developments like shop, cafes, or offices. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the average person in the respondent's community has a voice in the construction of new commercial developments like shop, cafes, or offices. Possible values are: Yes, No, and Don't Know.",,177,513,753,721
K: Ownership of Change,Keep,Keep,occommercial4u,New Commercial Developments: Beneficial,2c. Are these changes for you? (for your benefit),New Commercial Developments: Beneficial,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the creation of new commercial developments like shops, cafes, and offices in the respondent's neighborhood are for their benefit. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the creation of new commercial developments like shops, cafes, and offices in the respondent's neighborhood are for their benefit. Possible values are: Yes, No, and Don't Know.",,172,528,735,706
K: Ownership of Change,Keep,Keep,occommercialinvolved,New Commercial Developments: Personal Involvement,2d. Are you personally involved?,New Commercial Developments: Personal Involvement,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the respondent is personally involved in the creation of new commercial developments like shops, cafes, or offices in their neighborhood Possible values are: Yes, No, Don't Know.","This variable indicates whether the respondent is personally involved in the creation of new commerical developments like shops, cafes, or offices in their neighborhood Possible values are: Yes, No, Don't Know.",,172,628,743,705
K: Ownership of Change,Keep,Keep,ocamenityneigh,New Public Spaces,"3a. Building or improving public spaces like libraries, plazas, and community centers",New Public Spaces,radio,"0, NO, These changes are NOT happening in my neighborhood | 1, YES, These changes are happening in my neighborhood | 2, Don't Know",0,"This variable indicates whether public spaces like libraries, plazas, and community centers are being built or improved in the respondent's neighborhood. The response options are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhood, and Don't know.","This variable indicates whether public spaces like libraries, plazas, and community centers are being built or improved in the respondent's neighborhood. Possible values are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhod, and Don't know.",,316,750,982,765
K: Ownership of Change,Keep,Keep,ocamenity4u,New Public Spaces: Beneficial,3c. Are these changes for you? (for your benefit),New Public Spaces: Beneficial,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the creation or improvement of public spaces like libraries, plazas, and community center's in the respondent's neighborhood is for their benefit. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the creation or improvement of public spaces like libraries, plazas, and community center's in the respondent's neighborhood is for their benefit. Possible values are: Yes, No, and Don't Know.",,155,484,703,700
K: Ownership of Change,Keep,Keep,ocamenityinvolved,New Public Spaces: Personal Involvement,"3d. Are you personally involved?
",New Public Spaces: Personal Involvement,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the respondent is personally involved in the creation or improvement of public spaces in their neighborhood like libraries, plazas, and community centers. Possible values are: Yes, No, Don't Know.","This variable indicates whether the respondent is personally involved in the creation or improvement of public spcaes in their neighborhood like libraries, plazas, and community centers. Possible values are: Yes, No, Don't Know.",,156,491,715,695
K: Ownership of Change,Keep,Keep,ocnewjobsneigh,New Jobs,4a. Creating new jobs in [neighborhood],New Jobs,radio,"0, NO, These changes are NOT happening in [neighborhood] | 1, YES, These changes ARE happening in [neighborhood] | 2, Don't Know",0,"This variable indicates whether there are new jobs being created in the respondent's neighborhood. The response options are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhood, and Don't know.","This variable indicates whether there are new jobs being created in the respondent's neighborhood. Possible values are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhod, and Don't know.",,319,716,982,771
K: Ownership of Change,Keep,Keep,ocjobsavgpers,New Jobs: Community Input,4b. Does the average person in your community have a voice in these changes?,New Jobs: Community Input,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the average person in the respondent's community has a voice in the creation of new jobs within the neighborhood. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the average person in the respondent's community has a voice in the creation of new jobs within the neighborhood. Possible values are: Yes, No, and Don't Know.",,148,411,738,712
K: Ownership of Change,Keep,Keep,octransitneigh,New Transportation,6a. Developing new transportation options,New Transportation,radio,"0, NO, These changes are NOT happening in my neighborhood | 1, YES, These changes ARE happening in my neighborhood | 2, Don't Know",0,"This variable indicates whether new transportation options are being developed in the respondent's neighborhood. The response options are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhood, and Don't know.","This variable indicates whether new transportation options are being developed in the respondent's neighborhood. Possible values are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhod, and Don't know.",,322,717,979,766
K: Ownership of Change,Keep,Keep,octransitavgpers,New Transportation: Community Input,6b. Does the average person in your community have a voice in these changes?,New Transportation: Community Input,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the average person in the respondent's community has a voice in the development of new transportation options. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the average person in the respondent's community has a voice in the development of new transportation options. Possible values are: Yes, No, and Don't Know.",,119,406,712,695
K: Ownership of Change,Keep,Keep,octransit4u,New Transportation: Beneficial,6c.  Are these changes for you? (for your benefit),New Transportation: Beneficial,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the development of new transportation options in the neighborhood is for the respondent's benefit. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the development of new transportation options in the neighborhood is for the respondent's benefit. Possible values are: Yes, No, and Don't Know.",,118,416,695,685
K: Ownership of Change,Keep,Keep,octransitinvolved,New Transportation: Personal Involvement,"6d. Are you personally involved?
",New Transportation: Personal Involvement,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the respondent is personally involved in the development of new transportation options in the neighborhood. Possible values are: Yes, No, Don't Know.","This variable indicates whether the respondent is personally involved in the development of new transportation options in the neighborhood. Possible values are: Yes, No, Don't Know.",,115,422,696,688
K: Ownership of Change,Keep,Keep,ocpoliceneigh,Changing Policing Practices,7a. Changing policing practices and activities,Changing Policing Practices,radio,"0, NO, These changes are NOT happening in my neighborhood | 1, YES, These changes ARE happening in my neighborhood | 2, Don't Know",0,"This variable indicates whether policing practices and activities are changing in the respondent's neighborhood. The response options are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhood, and Don't know.","This variable indicates whether policing practices and activites are changing in the respondent's neighborhood. Possible values are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhod, and Don't know.",,316,709,979,763
K: Ownership of Change,Keep,Keep,ocpoliceavgpers,Changing Policing Practices: Community Input,7b. Does the average person in your community have a voice in these changes?,Changing Policing Practices: Community Input,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the average person in the respondent's community has a voice in the changing policing practices and activities within the neighborhood. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the average person in the respondent's community has a voice in the changing policing practices and activities within the neighborhood. Possible values are: Yes, No, and Don't Know.",,119,383,712,683
K: Ownership of Change,Keep,Keep,ocpolice4u,Changing Policing Pratices: Beneficial,7c.  Are these changes for you? (for your benefit),Changing Policing Practices: Beneficial,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the changes in policing practices and activities in the neighborhood is for the respondent's benefit. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the changes in policing practices and activities in the neighborhood is for the respondent's benefit. Possible values are: Yes, No, and Don't Know.",,112,391,701,674
K: Ownership of Change,Keep,Keep,ocpoliceinvolved,Changing Policing: Personal Involvement,"7d.  Are you personally involved?
",Changing Policing: Personal Involvement,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the respondent is personally involved in the changes of policing practices and activities within the neighborhood. Possible values are: Yes, No, Don't Know.","This variable indicates whether the respondent is personally involved in the changes of policing practices and activities within the neighborhood. Possible values are: Yes, No, Don't Know.",,116,401,715,678
K: Ownership of Change,Keep,Keep,ocparks,New Green Spaces,"5a. Creating or improving public green spaces like parks, greenways, and community gardens",New Green Spaces,radio,"0, NO, This change is NOT happening in my neighborhood | 1, YES, This change IS happening in my neighborhood | 2, Don't Know",0,"This variable indicates whether public green spaces like parks, greenways, and community gardens are being built or improved in the respondent's neighborhood. The response options are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhood, and Don't know.","This variable indicates whether public green spaces like parks, greenways, and community gardens are being built or improved in the respondent's neighborhood. Possible values are: NO, This change is NOT happening in my neighborhood, Yes, This change IS happening in my neighborhod, and Don't know.",,0,0,983,764
